Porteur_projet;Projet;Montant_acc;Type
Fédération Française Handisport;Jeux Nationaux de l'Avenir Handisport;25 000 €;Projets innovants
Comme les Autres;Séjours aventure sportifs en faveur de personnes handicapées;7 500 €;Projets innovants
Fédération Française Basket-ball;Actions en matière de développement durable. Outil d'optimisation des déplacements sportifs;50 000 €;Projets innovants
Fête le Mur;Actions en matière de sport et insertion;50 000 €;Projets innovants
Fédération Sportive Gaie et Lesbienne (FSGL);Tournoi International de Paris dans le domaine de la lutte contre l'homophobie;10 000 €;Projets innovants
Gay Games 2018;Manifestation 2018;59 950 €;Projets innovants
Premiers de Cordée;Journée évasion organisée au Stade de France - 20/05/2015;5 000 €;Projets innovants
Siel Bleu;Programmes en faveur du sport / santé;5 000 €;Projets innovants
Vaincre la mucoviscidose;Les virades et les greens de l'espoir;10 000 €;Projets innovants
Comité Paralympique et Sportif Français (CPSF);Semaine paralympique (séminaire de cohésion de l'équipe de France paralympique);18 000 €;Projets innovants
Association «Athletes For Transparency»;Création d'un logiciel SAMM (Sampling and Analysis Management Module) - Organisation et logistique des contrôles antidopage;4 550 €;Projets innovants
Odysséa;Course - lutte contre le cancer du sein;5 000 €;Projets innovants
FF Karaté;Championnats d'Europe 2016;115 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Escalade;Championnats du monde 2016;215 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Badminton;Championnats d'Europe 2016;250 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Squash;Championnats du monde féminins par équipes 2016;90 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Squash;Championnats du monde masculins par équipes 2017;100 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Lutte;Championnats du monde 2017;700 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Tir à l'arc et FF Handisport;Championnats d'Europe de Tir à l'Arc 2016;120 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Athlétisme;Championnats d'Europe par équipes 2017;350 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Triathlon;Championnats d'Europe 2016;22 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Sport Adapté;Championnats d'Europe de Football adapté 2016;20 000 €;Subventions aux Grands Evenements Sportifs Internationaux
GIP PARIS 2024;Candidature aux Jeux Olympiques et paralympiques 2024;10 000 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Aéronautique;Championnats du Monde de Voltige 2015;80 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Handisport;Championnats d'Europe de Volley-Ball sourds 2015;50 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Canoë-kayak;Championnats du Monde de Canoe-Kayak (slalom et descente) 2017;700 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Gymnastique;Championnats d'Europe de Gymnastique artistique 2015;100 000 €;Subventions aux Grands Evenements Sportifs Internationaux
FF Tir à l'Arc ;Championnat de France de Tir à l'Arc ;7 000 €;Fond soutien à la production audiovisuelle
Cercle Paul Bert ;Rennes sur roulettes ;8 000 €;Fond soutien à la production audiovisuelle
 FF Handisport ;Sportifs avant tout ;45 000 €;Fond soutien à la production audiovisuelle
FF Handisport ;Open IPC Athlétisme Handi ;10 000 €;Fond soutien à la production audiovisuelle
CD de pétanque des Alpes Maritimes ;Championnat du monde de Pétanque tête à tête ;15 000 €;Fond soutien à la production audiovisuelle
FF Athlétisme ;Championnat d'Europe de Cross-country ;55 000 €;Fond soutien à la production audiovisuelle
FF Athlétisme - Meeting Eaubonne ;Meeting du Val d'Oise ;5 000 €;Fond soutien à la production audiovisuelle
FF Basket-ball, FF Aviron, FF Ski ;Magazines mensuels ;60 000 €;Fond soutien à la production audiovisuelle
FFT- Ligue Alsace de Tennis ;Internationaux de Strasbourg ;30 000 €;Fond soutien à la production audiovisuelle
FF Aéronautique ;Documentaire Voltige ;35 000 €;Fond soutien à la production audiovisuelle
FF Handball ;Coupe d'Europe de Handball ;40 000 €;Fond soutien à la production audiovisuelle
Association Bowling Promotion ;Women's Bowling Challenge ;5 000 €;Fond soutien à la production audiovisuelle
FF Sport Adapté ;Performant Autrement ;20 000 €;Fond soutien à la production audiovisuelle
FF Volley-Ball ;TQCE - France Slovénie ;16 000 €;Fond soutien à la production audiovisuelle
FF Badminton ;Internationaux de France de Badminton ;39 000 €;Fond soutien à la production audiovisuelle
Basket Club Monbrisonnais féminin ;Chronique d'une victoire annoncée ;10 000 €;Fond soutien à la production audiovisuelle
FF Handisport ;Objectif Rio ;40 000 €;Fond soutien à la production audiovisuelle
FF Sports de Glace ;Championnats de France 2015 de Patinage et de Short track ;15 500 €;Fond soutien à la production audiovisuelle
FF Polo ;Open Féminin de Polo 2015 ;28 050 €;Fond soutien à la production audiovisuelle
FF Sport automobile ;Championnat de France de karting féminin ;5 170 €;Fond soutien à la production audiovisuelle
Ligue Limousin de Tennis ;Open WTA Limoges ;9 000 €;Fond soutien à la production audiovisuelle
Ligue Landes Bearn de Tennis ;Open WTA Biarritz ;9 000 €;Fond soutien à la production audiovisuelle
Cercle Nautique de Crozon ;Coupe du Monde de planche à voile -Xtrem Gliss Festival ;20 000 €;Fond soutien à la production audiovisuelle
FF Voile ;Coupe du Monde Voile + Test Event Rio 2015 ;8 660 €;Fond soutien à la production audiovisuelle
FF Volley-Ball ;Champions League Féminine ;46 000 €;Fond soutien à la production audiovisuelle
